93,93
80,80
192,192
43,42
107,146
69,106
65,65
53,56
83,83
119,119
186,186
169,169
92,92
82,82
20,212
121,121
268,250
56,56
277,277
94,94
28,30
31,67
46,53
50,63
156,200
189,179
52,64
89,153
48,42
67,84
76,66
228,319
449,425
1004,304
125,118
104,149
55,144
48,79
279,262
43,92
31,30
66,112
29,118
25,48
69,94
38,83
85,192
100,101
34,178
34,45
54,90
28,242
111,114
257,260
30,63
46,40
23,47
68,243
31,73
25,32
12,26
61,107
29,32
58,82
46,123
49,145
43,173
25,44
38,93
78,130
63,82
34,95
32,87
42,80
33,197
85,115
79,136
57,219
94,211
30,263

