0.0,1.875,0.0,1.337,0.0,0.508,0.0,0.388,0.0,0.6,0.0,0.507,0.0,0.462,0.0,1.121,0.0,0.597,0.0,0.937,
0.0,1.986,0.0,1.836,0.0,1.253,0.0,1.151,0.0,1.672,0.0,1.346,0.0,0.992,0.0,3.557,0.0,1.218,0.0,3.48,
0.0,3.178,0.0,2.749,0.0,2.006,0.0,2.025,0.0,2.892,0.0,2.399,0.0,2.117,0.0,7.312,0.0,2.073,0.0,5.997,
0.0,5.686,0.0,8.615,0.0,5.297,0.0,5.43,0.0,7.189,0.0,6.222,0.0,5.432,0.0,15.426,0.0,5.369,0.0,15.87,
0.0,9.027,0.0,14.741,0.0,9.284,0.0,8.285,0.0,11.152,0.0,10.265,0.0,8.129,0.0,27.88,0.0,8.723,0.0,26.716,
0.0,11.297,0.0,279.396,0.0,11.729,0.0,10.491,0.0,14.902,0.0,14.853,0.0,10.501,0.0,38.229,0.0,11.342,0.0,33.431,
0.0,13.842,0.0,213.079,0.0,13.47,0.0,12.419,0.0,19.513,0.0,16.747,0.0,12.272,0.0,43.904,0.0,13.904,0.0,40.33,
0.0,16.266,0.0,234.243,0.0,16.639,0.0,15.084,0.0,25.3,0.0,22.41,0.0,14.449,0.0,52.935,0.0,17.298,0.0,47.46,
0.0,20.717,0.0,162.68,0.0,23.36,0.0,17.022,0.0,30.294,0.0,26.057,0.0,17.324,0.0,64.241,0.0,19.829,0.0,57.081,
0.0,23.715,0.0,266.539,0.0,24.898,0.0,20.221,0.0,38.771,0.0,31.283,0.0,21.056,0.0,72.829,0.0,24.141,0.0,65.497,
